custom_fields[pid],category,subcategory,group
6ES7451-3AL00-0AE0,PLC,PLC Hardware,Function Module
6ES7136-6AA00-0CA1,PLC,Distributed I/O,I/O Module
6ES7193-6BP00-2BU0,PLC,PLC Hardware,PLC Accessories
6ES7155-5AA01-0AB0,PLC,Distributed I/O,Communication Module
6ES7154-3AB00-0AB0,PLC,Distributed I/O,Communication Module
6ES7194-2MN10-1AB0,PLC,Cable & Wire,Industrial Cable
6ES7194-2MN10-1AA0,PLC,Cable & Wire,Industrial Cable
6ES7194-2MN10-0AC0,PLC,Cable & Wire,Industrial Cable
6ES7194-2MH03-0AB0,PLC,Cable & Wire,Industrial Cable
6ES7194-2MH03-0AA0,PLC,Cable & Wire,Industrial Cable
6ES7194-2MH02-0AD0,PLC,Cable & Wire,Industrial Cable
6ES7194-2MH02-0AA0,PLC,Cable & Wire,Industrial Cable
6ES7136-6DC00-0CA0,PLC,Distributed I/O,I/O Module
6ES7155-6AU01-0BN0,PLC,Distributed I/O,Communication Module
6ES7155-5AA00-0AA0,PLC,Distributed I/O,Communication Module
6ES7143-5AH00-0BA0,PLC,Distributed I/O,I/O Module
6ES7155-6AU00-0DN0,PLC,Distributed I/O,Communication Module
6ES7147-4JD00-0AB0,PLC,Distributed I/O,Communication Module
6ES7148-6JD00-0AB0,PLC,Distributed I/O,Communication Module
6ES7142-5AF00-0BA0,PLC,Distributed I/O,I/O Module
6ES7141-5AH00-0BA0,PLC,Distributed I/O,I/O Module
6ES7141-5AF00-0BA0,PLC,Distributed I/O,I/O Module
6ES7143-5AF00-0BA0,PLC,Distributed I/O,I/O Module
6ES7193-6AG40-0AA0,PLC,Distributed I/O,Communication Module
6ES7193-6AG20-0AA0,PLC,Distributed I/O,Communication Module
6ES7193-6AG00-0AA0,PLC,Distributed I/O,Communication Module
6ES7138-6DB00-0BB1,PLC,Distributed I/O,Function Module
6ES7151-1AA06-0AB0,PLC,Distributed I/O,Communication Module
6ES7153-2BA10-0XB0,PLC,Distributed I/O,Communication Module
6ES7193-6BP00-2DA0,PLC,PLC Hardware,PLC Accessories
6ES7193-6AP40-0AA0,PLC,Distributed I/O,Communication Module
6ES7155-6AR00-0AN0,PLC,Distributed I/O,Communication Module
6ES7193-6AP20-0AA0,PLC,Distributed I/O,Communication Module
6ES7138-6CG00-0BA0,PLC,Distributed I/O,Function Module
6ES7147-5JD00-0BA0,PLC,Distributed I/O,Communication Module
6ES7157-1AA00-0AB0,PLC,Distributed I/O,Communication Module
6ES7143-5BF00-0BA0,PLC,Distributed I/O,I/O Module
6ES7193-6BN00-0NE0,PLC,PLC Hardware,PLC Accessories
6ES7193-6AS00-0AA0,PLC,Distributed I/O,Communication Module
6ES7141-5BF00-0BA0,PLC,Distributed I/O,I/O Module
